Ticker,Portfolio,Chart Start,Trend Start,CoS1,CoS2,CoS3,CoS4,CoS5,CoS6,CoS7
AAPL,Owned,11/1/2000,,0.54,0.67,0.84,1.05,1.4,1.75,2.15
ABBV,Owned,1/2/2013,,0.75,0.83,0.91,0.98,1.05,1.125,1.275
ADBE,Owned,6/1/2011,,0.8,0.89,0.94,1,1.09,1.15,1.26
AMAT,Owned,11/3/2008,9/3/2010,0.46,0.61,0.73,0.84,0.94,1.15,1.41
AMT,Owned,9/22/2008,,0.8,0.84,0.89,0.97,1.05,1.15,1.23
AMZN,Owned,8/1/2006,,0.59,0.65,0.74,0.86,1,1.15,1.38
APPS,Owned,5/4/2016,,0.36,0.62,0.75,1,1.3,1.75,2.77
AVGO,Owned,8/6/2009,,0.62,0.71,0.79,0.9,1.1,1.26,1.46
AY,Owned,9/1/2015,,0.73,0.83,0.93,1.01,1.18,1.3,1.47
BABA,Owned,9/19/2014,,0.64,0.73,0.83,0.94,1.07,1.28,1.46
BAC,Owned,5/2/2011,,0.62,0.69,0.845,0.99,1.11,1.26,1.38
BAND,Owned,11/9/2017,,0.63,0.75,0.85,0.93,1.035,1.15,1.4
BNS,Owned,9/13/1999,,0.55,0.66,0.735,0.84,0.94,1.08,1.33
BRK.B,Owned,5/9/1996,,0.75,0.87,0.945,1.03,1.15,1.25,1.38
CERN,Owned,1/2/1992,7/1/1996,0.4,0.55,0.7,0.9,1.14,1.34,1.72
CI,Owned,6/1/2009,,0.63,0.7,0.8,0.9,0.99,1.22,1.45
COUP,Owned,10/6/2016,11/29/2016,0.78,0.85,0.95,1.1,1.32,1.48,1.79
CRM,Owned,6/23/2004,,0.63,0.73,0.82,1.01,1.15,1.32,1.54
CRWD,Owned,6/12/2019,6/25/2019,0.69,0.8,0.87,0.95,1.105,1.2,1.45
CVS,Owned,7/1/1996,,0.65,0.78,0.9,1.065,1.2,1.41,1.65
CVX,Owned,1/3/1995,,0.63,0.7,0.8,0.9,1.1,1.25,1.4
DFS,Owned,8/11/2008,,0.64,0.71,0.85,0.99,1.11,1.3,1.66
DIS,Owned,7/2/2001,,0.64,0.81,0.96,1.1,1.19,1.34,1.55
DKNG,Owned,12/20/2019,,0.56,0.67,0.79,0.93,1.05,1.3,1.64
DOCU,Owned,4/27/2018,,0.62,0.75,0.9,1.03,1.15,1.37,1.8
ED,Owned,1/3/2000,,0.76,0.83,0.9,0.97,1.06,1.12,1.2
ETSY,Owned,4/16/2015,6/18/2015,0.58,0.67,0.81,1.02,1.2,1.35,1.77
FB,Owned,5/18/2012,,0.58,0.69,0.79,0.92,1.05,1.18,1.33
FISV,Owned,10/1/2009,,0.75,0.81,0.89,0.95,1.03,1.1,1.2
FL,Owned,5/3/1999,,0.5,0.65,0.8,0.9,1.02,1.3,1.75
FLGT,Owned,8/13/2018,,0.735,0.92,1.1,1.25,1.37,1.6,1.85
FUBO,Owned,6/3/2019,,0.63,0.75,0.89,1,1.2,1.46,1.65
FVRR,Owned,6/13/2019,4/29/2020,0.42,0.59,0.71,0.86,1,1.25,1.6
GH,Owned,10/4/2018,10/3/2019,0.725,0.81,0.905,1,1.13,1.25,1.47
HQY,Owned,7/31/2014,,0.59,0.675,0.76,0.92,1.15,1.32,1.45
